,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Ford Sierra ,Sierra rs cosworth,"€ 42 900,-",Pas d'information,3 500 km,Boîte manuelle,06/1987,Essence,221 kW (300 CH),,
1,Ford Sierra ,2.0i Tbo RS Cosworth 4X4,"€ 70 000,-",Pas d'information,1 000 km,Boîte manuelle,02/1990,Essence,161 kW (219 CH),,
2,Ford Sierra ,2.0i Tbo RS Cosworth / ETAT EXCEPTIONNEL,"€ 59 900,-",Pas d'information,71 000 km,Boîte manuelle,01/1987,Essence,150 kW (204 CH),,
3,Ford Sierra ,RS Cosworth 2.0i Tbo ETAT NEUF en stock en France,"€ 54 900,-",Pas d'information,78 815 km,- Boîte,11/1986,Essence,150 kW (204 CH),,
4,Ford Sierra ,2.0i Tbo RS Cosworth,"€ 49 900,-",Pas d'information,105 000 km,Boîte manuelle,10/1986,Essence,150 kW (204 CH),,
