,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Peugeot 1007 ,1.6 16V 110 ch Sporty Pack 36,"€ 3 490,-",Pas d'information,126 614 km,Boîte manuelle,12/2007,Essence,81 kW (110 CH),,
1,Peugeot 1007 ,1.4e Vitamine,"€ 2 490,-",Pas d'information,128 600 km,Boîte manuelle,10/2006,Essence,55 kW (75 CH),,
2,Peugeot 1007 ,1.4 HDI TRENDY,"€ 5 500,-",Pas d'information,41 500 km,Boîte manuelle,09/2007,Diesel,52 kW (71 CH),,
3,Peugeot 1007 ,1.4 HDi Vitamine,"€ 2 000,-",Pas d'information,195 000 km,Boîte manuelle,11/2006,Diesel,52 kW (71 CH),,
4,Peugeot 1007 ,"1.4 HDi 70 Sporty BVM (2ème main, Distribution à","€ 5 490,-",Pas d'information,58 000 km,Boîte manuelle,01/2006,Diesel,50 kW (68 CH),,
5,Peugeot 1007 ,1.4 hdi 70 cv,"€ 1 990,-",Pas d'information,269 000 km,Boîte manuelle,03/2006,Diesel,- kW (- CH),,
6,Peugeot 1007 ,1.6e 2-Tronic Dolce Pack 3,"€ 3 980,-",Pas d'information,140 500 km,Boîte automatique,05/2005,Essence,81 kW (110 CH),,
7,Peugeot 1007 ,1.4e 16v Sporty,"€ 2 750,-",Pas d'information,150 000 km,Boîte manuelle,11/2005,Essence,66 kW (90 CH),,
8,Peugeot 1007 ,1.6 HDI110 FAP SPORTY PACK,"€ 3 500,-",Pas d'information,243 125 km,Boîte manuelle,12/2007,Diesel,82 kW (111 CH),,
9,Peugeot 1007 ,Peugeot 1.4 HDI 70CH BLUE LION SPORTY,"€ 4 499,-",Pas d'information,115 700 km,Boîte manuelle,01/2005,Diesel,- kW (- CH),,
10,Peugeot 1007 ,1.4 HDI TRENDY,"€ 5 490,-",Pas d'information,123 910 km,Boîte manuelle,09/2008,Diesel,52 kW (71 CH),,
