,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Citroen Xantia ,2.1 TD Exclusive,"€ 3 900,-",Pas d'information,99 000 km,Boîte manuelle,12/1998,Diesel,80 kW (109 CH),,
1,Citroen Xantia ,V6 activa,"€ 20 000,-",Pas d'information,185 000 km,Boîte manuelle,03/1999,Essence,142 kW (193 CH),,
2,Citroen Xantia ,1.9 TD,"€ 3 900,-",Pas d'information,33 106 km,Boîte manuelle,03/1998,Diesel,67 kW (91 CH),,
3,Citroen Xantia ,2.0 HDi - 110 Exclusive,"€ 100,-",Pas d'information,350 000 km,Boîte manuelle,03/2001,Diesel,81 kW (110 CH),,
4,Citroen Xantia ,Xantia 1.6i X,"€ 2 990,-",Pas d'information,72 400 km,Boîte manuelle,05/1994,Essence,- kW (- CH),,
5,Citroen Xantia ,Break 2.0 HDi - 110 Clim,"€ 2 299,-",Pas d'information,104 000 km,Boîte manuelle,07/1999,Diesel,80 kW (109 CH),,
