,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Volkswagen T5 Transporter ,Volkawagen Transporter FG 2.8T 2.0TDI 102cv,"€ 20 490,-",Pas d'information,72 349 km,- Boîte,10/2017,Diesel,75 kW (102 CH),,
1,Volkswagen T5 Multivan ,California Ocean DSG7 Wifi FULL OPTION,"€ 28 999,-",Pas d'information,118 000 km,Boîte manuelle,04/2016,Diesel,150 kW (204 CH),,
2,Volkswagen T5 California ,Tdi 174 4motion 2.5 4 portes 5 sièges comfort,"€ 42 000,-",Pas d'information,191 000 km,Boîte manuelle,05/2008,Diesel,128 kW (174 CH),,
3,Volkswagen T5 California ,2.0 TDI 140 Confortline DSG7,"€ 46 500,-",Pas d'information,185 000 km,Boîte automatique,08/2014,Diesel,103 kW (140 CH),,
4,Volkswagen T5 Caravelle ,2.0 TDI 140 Longue DSG7 Confortline,"€ 13 500,-",Pas d'information,296 000 km,Boîte manuelle,01/2012,Diesel,103 kW (140 CH),,
5,Volkswagen T5 Multivan ,2.0 CR TDi 1e PROP - NAVI - 6places,"€ 20 990,-",Pas d'information,144 000 km,Boîte manuelle,12/2012,Diesel,132 kW (179 CH),,
6,Volkswagen T5 California ,TDI 174 Confort,"€ 38 000,-",Pas d'information,150 000 km,Boîte manuelle,01/2005,Diesel,128 kW (174 CH),,
7,Volkswagen T5 Caravelle ,Tiptronic A 130,"€ 19 900,-",Pas d'information,324 800 km,Boîte automatique,05/2007,Diesel,96 kW (131 CH),,
8,Volkswagen T5 Multivan ,2.5 TDI 174 FAP 4Motion Confort (7pl),"€ 27 900,-",Pas d'information,73 500 km,Boîte manuelle,06/2005,Diesel,128 kW (174 CH),,
9,Volkswagen T5 Shuttle ,2.5 TDI - 174 Long,"€ 13 000,-",Pas d'information,300 000 km,Boîte manuelle,06/2004,Diesel,128 kW (174 CH),,
10,Volkswagen T5 Multivan ,Transporter 2.0 BiTDI 180 FAP Confortline Long,"€ 13 490,-",Pas d'information,375 600 km,Boîte manuelle,07/2012,Diesel,132 kW (179 CH),,
11,Volkswagen T5 Multivan ,2.5 TDI 130 FAP Carat (7pl),"€ 12 800,-",Pas d'information,282 000 km,Boîte manuelle,04/2006,Diesel,96 kW (131 CH),,
12,Volkswagen T5 Multivan ,2.0 BiTDI 180 FAP Carat,"€ 21 950,-",Pas d'information,175 000 km,Boîte manuelle,09/2011,Diesel,132 kW (179 CH),,
13,Volkswagen T5 Multivan ,2.0 BiTDI 180 FAP PanAmericana 4Motion DSG7,"€ 28 000,-",Pas d'information,152 000 km,Boîte automatique,05/2013,Diesel,132 kW (179 CH),,
14,Volkswagen T5 Multivan ,2.0 BiTDI 180 FAP Highline 4Motion,"€ 29 900,-",Pas d'information,150 000 km,Boîte automatique,06/2015,Diesel,132 kW (179 CH),,
15,Volkswagen T5 Multivan ,2.0 BiTDI 180 FAP Confortline Long 4Motion,"€ 29 990,-",Pas d'information,128 000 km,Boîte manuelle,05/2011,Diesel,132 kW (179 CH),,
16,Volkswagen T5 California ,Confortline - Edition 25 - 180 cv,"€ 48 500,-",Pas d'information,105 000 km,Boîte automatique,04/2013,Diesel,132 kW (179 CH),,
17,Volkswagen T5 Multivan ,2.0 BiTDI 180 FAP Confortline Long 4Motion,"€ 22 200,-",Pas d'information,175 834 km,Boîte manuelle,03/2010,Diesel,132 kW (179 CH),,
18,Volkswagen T5 Multivan ,2.0 TDI 140 FAP Confortline Court DSG7,"€ 33 100,-",Pas d'information,119 500 km,Boîte automatique,01/2015,Diesel,103 kW (140 CH),,
19,Volkswagen T5 California ,CONFORTLINE Toit escamotable,"€ 49 900,-",Pas d'information,77 800 km,Boîte manuelle,07/2013,Diesel,132 kW (179 CH),,
20,Volkswagen T5 Multivan ,2.0 BiTDI 180 FAP Confortline Court DSG7,"€ 39 000,-",Pas d'information,96 000 km,Boîte automatique,03/2015,Diesel,132 kW (179 CH),,
21,Volkswagen T5 Multivan ,2.5 TDI 174 FAP 4Motion Confort (7pl),"€ 15 000,-",Pas d'information,290 000 km,Boîte manuelle,08/2006,Diesel,128 kW (174 CH),,
22,Volkswagen T5 California ,2.0 TDI 140 Confortline,"€ 48 000,-",Pas d'information,150 000 km,Boîte manuelle,12/2012,Diesel,103 kW (140 CH),,
23,Volkswagen T5 Transporter ,Volkswagen Transporter FG 2.8T 2.0 TDI 102cv,"€ 23 890,-",Pas d'information,13 912 km,- Boîte,10/2018,Diesel,75 kW (102 CH),,
24,Volkswagen T5 Transporter ,Volkswagen Crafter FG 2.8T L1H1 2.0TDI 102cv,"€ 24 990,-",Pas d'information,11 469 km,- Boîte,09/2018,Diesel,75 kW (102 CH),,
