,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Suzuki Ignis ,1.2 DUALJET HYBRID 90CH PACK EURO6D-T,"€ 10 990,-",Pas d'information,37 650 km,Boîte manuelle,10/2019,Essence,67 kW (91 CH),,
1,Suzuki Ignis ,1.2 Dualjet Hybrid Privilège,"€ 13 990,-",Très bon prix,29 310 km,Boîte manuelle,04/2022,Essence,66 kW (90 CH),,
2,Suzuki Ignis ,1.2 Dualjet Hybrid 83ch Pack,"€ 12 999,-",Très bon prix,14 223 km,Boîte manuelle,07/2020,Autres,62 kW (84 CH),,
3,Suzuki Ignis ,1.2 Dualjet 90ch Hybrid SHVS Pack Allgrip,"€ 10 490,-",Pas d'information,86 073 km,Boîte manuelle,02/2017,Essence,- kW (- CH),,
4,Suzuki Ignis ,1.2 DUALJET SHVS 85ch PACK 2WD + PEINTURE BICOLORE,"€ 15 490,-",Prix correct,12 000 km,Boîte manuelle,11/2021,Autres,62 kW (84 CH),,
5,Suzuki Ignis ,1.3i VVT GLX CLIM,"€ 5 500,-",Pas d'information,91 500 km,Boîte manuelle,03/2006,Essence,69 kW (94 CH),,
6,Suzuki Ignis ,1.2 DUALJET 90CH PRIVILEGE,,Très bon prix,154 453 km,Boîte manuelle,12/2018,Essence,67 kW (91 CH),,
7,Suzuki Ignis ,1.2 Dualjet Hybrid Pack,"€ 17 490,-",Bon prix,5 500 km,Boîte automatique,12/2021,Essence,66 kW (90 CH),,
8,Suzuki Ignis ,Glx,"€ 16 490,-",Bon prix,14 911 km,Boîte manuelle,06/2023,Essence,61 kW (83 CH),,
9,Suzuki Ignis ,1.2 Dualjet Hybrid 90 Pack,"€ 11 090,-",Très bon prix,43 117 km,Boîte manuelle,08/2018,Électrique/Essence,66 kW (90 CH),,
10,Suzuki Ignis ,1.2 Dualjet Hybrid 90ch Pack Euro6d-T,"€ 10 990,-",Pas d'information,85 833 km,Boîte manuelle,03/2019,Électrique/Essence,- kW (- CH),,
11,Suzuki Ignis ,1.2 Dualjet Hybrid Pack,"€ 11 500,-",Bon prix,66 500 km,Boîte manuelle,06/2020,Électrique/Essence,66 kW (90 CH),,
12,Suzuki Ignis ,1.2 Dualjet Hybrid 83ch Privilège,"€ 16 299,-",Pas d'information,7 959 km,Boîte manuelle,06/2023,Électrique/Essence,- kW (- CH),,
13,Suzuki Ignis ,1.2 DUALJET HYBRID 90CH PRIVILEGE EURO6D-T,"€ 14 490,-",Prix correct,13 600 km,Boîte manuelle,06/2020,Électrique/Essence,67 kW (91 CH),,
14,Suzuki Ignis ,1.2 Dualjet Hybrid 83ch Privilège,"€ 16 799,-",Pas d'information,3 990 km,Boîte manuelle,11/2023,Électrique/Essence,- kW (- CH),,
15,Suzuki Ignis ,1.2 Dualjet Hybrid 83ch Avantage,"€ 15 899,-",Pas d'information,10 km,Boîte manuelle,04/2024,Électrique/Essence,- kW (- CH),,
16,Suzuki Ignis ,1.2 Dualjet Hybrid 83ch Pack,"€ 12 999,-",Pas d'information,46 444 km,Boîte manuelle,03/2021,Électrique/Essence,- kW (- CH),,
17,Suzuki Ignis ,1.2 Dualjet Hybrid 83ch Pack Auto,"€ 18 990,-",Bon prix,3 000 km,Boîte automatique,11/2023,Autres,62 kW (84 CH),,
18,Suzuki Ignis ,1.2 Dualjet 90ch Privilège Allgrip Euro6d-T,"€ 14 480,-",Prix correct,13 287 km,Boîte manuelle,08/2019,Essence,67 kW (91 CH),,
19,Suzuki Ignis ,1.2 Dualjet Hybrid 90ch Privilège Allgrip Euro6d-T,"€ 16 700,-",Pas d'information,9 891 km,Boîte manuelle,08/2020,Autres,67 kW (91 CH),,
20,Suzuki Ignis ,1.2 Dualjet 90ch Pack Auto Euro6d-T,"€ 14 499,-",Pas d'information,21 093 km,Boîte automatique,12/2019,Essence,- kW (- CH),,
21,Suzuki Ignis ,1.2 Dualjet Hybrid 83ch Pack,"€ 17 990,-",Bon prix,3 000 km,Boîte manuelle,10/2023,Autres,62 kW (84 CH),,
22,Suzuki Ignis ,GLX CVT7,"€ 23 538,-",Pas d'information,50 km,Boîte automatique,03/2024,Essence,61 kW (83 CH),,
23,Suzuki Ignis ,1.2 Dualjet Hybrid 83ch Privilège,"€ 14 490,-",Pas d'information,12 339 km,Boîte manuelle,12/2020,Essence,- kW (- CH),,
24,Suzuki Ignis ,1.2 Dualjet Hybrid 83ch Pack,"€ 19 210,-",Prix correct,51 km,Boîte manuelle,04/2024,Autres,62 kW (84 CH),,
25,Suzuki Ignis ,1.2 Dualjet Hybrid 90ch Pack Allgrip Euro6d-T,"€ 12 999,-",Pas d'information,62 612 km,Boîte manuelle,02/2020,Électrique/Essence,- kW (- CH),,
26,Suzuki Ignis ,1.2 dualjet pack shvs,"€ 11 990,-",Pas d'information,41 900 km,Boîte manuelle,01/2020,Électrique/Essence,- kW (- CH),,
27,Suzuki Ignis ,1.2 Dualjet Hybrid 83ch Pack,"€ 14 299,-",Pas d'information,11 798 km,Boîte manuelle,07/2021,Électrique/Essence,- kW (- CH),,
28,Suzuki Ignis ,1.2 Dualjet Hybrid 83ch Pack,"€ 18 980,-",Prix correct,950 km,Boîte manuelle,10/2023,Autres,62 kW (84 CH),,
