,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Ford Puma ,1.0 EcoBoost 155 ch mHEV S,"€ 15 900,-",Bon prix,91 000 km,Boîte manuelle,05/2021,Essence,114 kW (155 CH),,
1,Ford Puma ,1.0 EcoBoost 125ch Titanium DCT7 6cv,"€ 19 490,-",Pas d'information,26 520 km,- Boîte,11/2020,Essence,93 kW (126 CH),,
2,Ford Puma ,II 1.0 Ecoboost 155ch Mhev ST-Line 1erMain Clim GP,"€ 15 990,-",Très bon prix,78 363 km,Boîte manuelle,03/2021,Autres,115 kW (156 CH),,
3,Ford Puma ,1.0 EcoBoost 125ch S\u0026S mHEV ST-Line Powershif,"€ 17 500,-",Pas d'information,87 800 km,- Boîte,07/2021,Autres,93 kW (126 CH),,
4,Ford Puma ,1.0 EcoBoost 125ch mHEV Titanium X 6cv,"€ 17 890,-",Bon prix,40 501 km,Boîte manuelle,07/2021,Autres,93 kW (126 CH),,
5,Ford Puma ,1.0 EcoBoost 125ch mHEV ST-Line 6cv,"€ 17 999,-",Bon prix,49 450 km,Boîte manuelle,03/2021,Autres,93 kW (126 CH),,
6,Ford Puma ,1.0 Ecoboost 125 CH MHEV S&S BVM6 Titanium,"€ 17 700,-",Prix correct,15 250 km,Boîte manuelle,09/2020,Électrique/Essence,92 kW (125 CH),,
7,Ford Puma ,1.0 EcoBoost 125ch mHEV Titanium,"€ 16 999,-",Bon prix,30 200 km,Boîte manuelle,09/2020,Autres,93 kW (126 CH),,
8,Ford Puma ,1.0 EcoBoost 125ch mHEV ST-Line X,"€ 17 490,-",Bon prix,64 000 km,Boîte manuelle,02/2021,Autres,93 kW (126 CH),,
9,Ford Puma ,1.0 EcoBoost 125ch mHEV ST-Line 7cv,"€ 17 489,-",Bon prix,68 663 km,Boîte manuelle,09/2020,Autres,93 kW (126 CH),,
10,Ford Puma ,1.0 EcoBoost 125ch mHEV Titanium 6cv,"€ 19 589,-",Prix correct,22 847 km,Boîte manuelle,11/2020,Autres,93 kW (126 CH),,
11,Ford Puma ,1.0 EcoBoost 125ch mHEV Titanium 6cv,"€ 17 990,-",Prix correct,54 136 km,Boîte manuelle,05/2021,Autres,93 kW (126 CH),,
12,Ford Puma ,1.0 EcoBoost 125ch Titanium DCT7 6cv,"€ 19 299,-",Pas d'information,56 495 km,- Boîte,04/2021,Essence,93 kW (126 CH),,
13,Ford Puma ,1.0 155 ST-Line X LED GPS CAMERA,"€ 16 988,-",Bon prix,66 381 km,Boîte manuelle,01/2020,Essence,114 kW (155 CH),,
14,Ford Puma ,1.5 EcoBoost 200ch S\u0026S ST,"€ 33 600,-",Prix correct,100 km,Boîte manuelle,12/2023,Essence,149 kW (203 CH),,
15,Ford Puma ,1.5 ECOBOOST 200 ST PLUS,"€ 35 480,-",Pas d'information,20 km,Boîte manuelle,- (Année),Essence,- kW (- CH),,
16,Ford Puma ,1.0 EcoBoost 125 ch mHEV S,"€ 17 500,-",Bon prix,27 000 km,Boîte manuelle,05/2021,Électrique/Essence,92 kW (125 CH),,
17,Ford Puma ,1.0 EcoBoost 125 ch mHEV S,"€ 17 990,-",Très bon prix,5 950 km,Boîte manuelle,04/2021,Électrique/Essence,92 kW (125 CH),,
18,Ford Puma ,1.0 EcoBoost 125ch mHEV Titanium 6cv,"€ 18 989,-",Bon prix,17 399 km,Boîte manuelle,12/2020,Autres,93 kW (126 CH),,
19,Ford Puma ,1.0 EcoBoost 125 ch mHEV S,"€ 19 990,-",Prix correct,39 500 km,Boîte automatique,09/2020,Essence,92 kW (125 CH),,
20,Ford Puma ,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,Ford Puma ,1.0 EcoBoost 125ch mHEV ST-Line 6cv,"€ 18 999,-",Pas d'information,40 483 km,Boîte manuelle,12/2020,Électrique/Essence,- kW (- CH),,
41,Ford Puma ,1.0 ECOBOOST FLEXIFUEL 125 Ch ST LINE X,"€ 20 990,-",Prix correct,41 870 km,Boîte manuelle,03/2022,Ethanol,92 kW (125 CH),,
42,Ford Puma ,1.0 EcoBoost 125ch mHEV Titanium 6cv,"€ 18 599,-",Prix correct,35 515 km,Boîte manuelle,06/2021,Autres,93 kW (126 CH),,
43,Ford Puma ,1.0 EcoBoost 125ch mHEV ST-Line,"€ 18 999,-",Prix correct,47 500 km,Boîte manuelle,03/2021,Autres,93 kW (126 CH),,
44,Ford Puma ,1.0 EcoBoost 125 Titanium X,"€ 18 140,-",Prix correct,39 760 km,Boîte manuelle,02/2021,Électrique/Essence,91 kW (124 CH),,
45,Ford Puma ,II 1.0 EcoBoost 125 Titanium,"€ 19 990,-",Bon prix,3 763 km,Boîte manuelle,02/2023,Électrique/Essence,92 kW (125 CH),,
46,Ford Puma ,1.0 EcoBoost 125ch mHEV Titanium 6cv,"€ 16 999,-",Pas d'information,38 435 km,Boîte manuelle,06/2021,Électrique/Essence,- kW (- CH),,
47,Ford Puma ,1.0 EcoBoost 125ch mHEV Titanium 7cv,"€ 19 490,-",Pas d'information,36 000 km,Boîte manuelle,08/2020,Autres,93 kW (126 CH),,
48,Ford Puma ,1.0 EcoBoost 155ch mHEV ST-Line X,"€ 20 000,-",Prix correct,40 499 km,Boîte manuelle,01/2020,Autres,116 kW (158 CH),,
49,Ford Puma ,1.0 EcoBoost mHEV ST-Line (EU6d),"€ 19 990,-",Bon prix,28 177 km,Boîte manuelle,05/2022,Électrique/Essence,92 kW (125 CH),,
50,Ford Puma ,1.0 EcoBoost 125ch mHEV Titanium,"€ 16 880,-",Bon prix,62 180 km,Boîte manuelle,06/2020,Autres,93 kW (126 CH),,
51,Ford Puma ,1.5 EcoBlue 120 ST-Line,"€ 18 990,-",Prix correct,58 012 km,Boîte manuelle,08/2020,Diesel,88 kW (120 CH),,
52,Ford Puma ,1.5 EcoBoost ST-Line X,"€ 17 360,-",Pas d'information,75 279 km,Boîte manuelle,02/2020,Essence,91 kW (124 CH),,
53,Ford Puma ,1.0 EcoBoost 125ch mHEV Titanium,"€ 18 899,-",Prix correct,36 104 km,Boîte manuelle,01/2021,Autres,93 kW (126 CH),,
54,Ford Puma ,1.0 155ch mHEV ST-Line X -INTEGRALE & DESIGN SPORT,,Prix correct,59 000 km,Boîte manuelle,02/2020,Essence,114 kW (155 CH),,
55,Ford Puma ,1.5 EcoBlue 120ch Titanium 6cv,"€ 18 799,-",Pas d'information,55 298 km,Boîte manuelle,01/2021,Diesel,- kW (- CH),,
56,Ford Puma ,1.0 EcoBoost 125ch mHEV Titanium X 6cv,"€ 19 499,-",Pas d'information,30 676 km,Boîte manuelle,05/2021,Électrique/Essence,- kW (- CH),,
57,Ford Puma ,1.0 EcoBoost 125ch mHEV Titanium 6cv S\u0026S BVM6,"€ 15 999,-",Pas d'information,37 339 km,Boîte manuelle,12/2020,Électrique/Essence,- kW (- CH),,
58,Ford Puma ,1.0 EcoBoost 125ch mHEV Titanium 6cv S\u0026S BVM6,"€ 17 999,-",Pas d'information,43 995 km,Boîte manuelle,08/2021,Électrique/Essence,- kW (- CH),,
59,Ford Puma ,1.0 EcoBoost 125ch mHEV ST-Line X,"€ 18 499,-",Prix correct,59 014 km,Boîte manuelle,06/2020,Autres,93 kW (126 CH),,
60,Ford Puma ,1.0 EcoBoost 155ch mHEV Titanium 8cv,"€ 18 990,-",Prix correct,53 740 km,Boîte manuelle,07/2021,Autres,116 kW (158 CH),,
61,Ford Puma ,1.0 ECOBOOST 125CH MHEV TITANIUM X 6CV,"€ 18 990,-",Bon prix,24 000 km,Boîte manuelle,03/2021,Essence,93 kW (126 CH),,
62,Ford Puma ,1.5 EcoBlue 120 S\u0026S Titanium,"€ 19 980,-",Pas d'information,39 310 km,Boîte manuelle,04/2021,Diesel,- kW (- CH),,
63,Ford Puma ,1.0 Flexifuel 125ch ST-Line X,"€ 22 499,-",Pas d'information,27 854 km,Boîte manuelle,09/2021,Essence,- kW (- CH),,
64,Ford Puma ,1.5 EcoBoost 200ch S\u0026S ST,"€ 35 950,-",Pas d'information,5 000 km,Boîte manuelle,12/2023,Essence,149 kW (203 CH),,
65,Ford Puma ,1.5 EcoBlue 120ch Titanium Business 6cv,"€ 20 499,-",Bon prix,33 000 km,Boîte manuelle,06/2022,Diesel,90 kW (122 CH),,
66,Ford Puma ,1.0 Flexifuel 125ch S\u0026S mHEV ST-Line,"€ 21 799,-",Pas d'information,37 590 km,Boîte manuelle,12/2022,Essence,- kW (- CH),,
67,Ford Puma ,Puma 1.0 Flexifuel 125 ch S\u0026amp;S BVM6,"€ 23 490,-",Pas d'information,23 357 km,Boîte manuelle,06/2021,Ethanol,- kW (- CH),,
68,Ford Puma ,1.0 EcoBoost mHEV 155 ST-Line,"€ 19 980,-",Pas d'information,47 617 km,Boîte manuelle,12/2020,Essence,- kW (- CH),,
69,Ford Puma ,1.0 Flexifuel 125ch Titanium X,"€ 21 999,-",Pas d'information,20 541 km,Boîte manuelle,03/2022,Essence,- kW (- CH),,
70,Ford Puma ,1.0 EcoBoost 125ch mHEV ST-Line 6cv Radar Ar CarPl,"€ 19 499,-",Prix correct,24 991 km,Boîte manuelle,07/2021,Autres,93 kW (126 CH),,
71,Ford Puma ,1.0 Flexifuel 125ch S\u0026S mHEV Titanium,"€ 20 999,-",Pas d'information,15 984 km,Boîte manuelle,01/2022,Essence,- kW (- CH),,
72,Ford Puma ,1.0 EcoBoost 155ch mHEV Titanium 8cv,"€ 18 998,-",Très bon prix,20 200 km,Boîte manuelle,06/2021,Autres,116 kW (158 CH),,
73,Ford Puma ,1.0 EcoBoost 125ch mHEV Titanium,"€ 17 999,-",Bon prix,30 785 km,Boîte manuelle,04/2021,Autres,93 kW (126 CH),,
74,Ford Puma ,1.5 ECOBOOST 200 ST,"€ 25 990,-",Prix correct,31 000 km,Boîte manuelle,04/2021,Essence,147 kW (200 CH),,
75,Ford Puma ,1.0 ECOBOOST 125CH MHEV ST-LINE 6CV,"€ 17 990,-",Bon prix,38 900 km,Boîte manuelle,02/2021,Essence,93 kW (126 CH),,
76,Ford Puma ,1.0 EcoBoost 125ch S\u0026S mHEV ST-Line X Powersh,"€ 28 299,-",Pas d'information,5 000 km,Boîte automatique,12/2023,Électrique/Essence,- kW (- CH),,
77,Ford Puma ,1.0 EcoBoost 125 Aut. ST-Line GPS PDC,"€ 24 148,-",Pas d'information,10 km,Boîte automatique,02/2024,Essence,92 kW (125 CH),,
78,Ford Puma ,"ST-Line, caméra, GPS, Att. rem, *Garantie 2ans*","€ 18 990,-",Pas d'information,72 894 km,Boîte manuelle,05/2020,Essence,91 kW (124 CH),,
79,Ford Puma ,155 DCT7 ST-LINE X GOLD EDITIO,"€ 32 980,-",Pas d'information,20 km,Boîte automatique,- (Année),Électrique/Essence,- kW (- CH),,
80,Ford Puma ,1.0 EcoBoost 125ch mHEV Titanium 6cv,"€ 18 399,-",Pas d'information,27 707 km,Boîte manuelle,12/2020,Électrique/Essence,- kW (- CH),,
81,Ford Puma ,1.0 ECOBOOST 125 MHEV TITANIUM,"€ 16 980,-",Prix correct,68 955 km,Boîte manuelle,03/2021,Autres,92 kW (125 CH),,
82,Ford Puma ,1.0 EcoBoost 125ch mHEV Titanium 6cv,"€ 18 499,-",Pas d'information,34 702 km,Boîte manuelle,03/2021,Électrique/Essence,- kW (- CH),,
83,Ford Puma ,1.0 EcoB Hyb 125 mHEV PShift ST-LINE,"€ 28 790,-",Prix correct,10 km,Boîte automatique,09/2022,Autres,92 kW (125 CH),,
84,Ford Puma ,1.0 EcoBoost 125ch mHEV Titanium Business 6cv,"€ 17 890,-",Bon prix,23 590 km,Boîte manuelle,04/2021,Autres,93 kW (126 CH),,
85,Ford Puma ,1.0 EcoBoost 125ch mHEV ST-Line 6cv,"€ 20 999,-",Pas d'information,14 876 km,Boîte manuelle,09/2021,Électrique/Essence,- kW (- CH),,
86,Ford Puma ,ST-LINE 120 TDCI,"€ 27 359,-",Pas d'information,10 km,Boîte manuelle,- (Année),Diesel,- kW (- CH),,
87,Ford Puma ,1.0 EcoBoost 155ch mHEV ST-Line Vignale,"€ 23 499,-",Pas d'information,13 271 km,Boîte manuelle,08/2021,Électrique/Essence,- kW (- CH),,
88,Ford Puma ,1.0 EcoBoost 125ch S\u0026S mHEV ST-Line X Powersh,"€ 29 999,-",Pas d'information,5 000 km,Boîte automatique,03/2024,Électrique/Essence,- kW (- CH),,
89,Ford Puma ,1.0 EcoBoost 125ch mHEV ST-Line 6cv,"€ 20 990,-",Pas d'information,8 333 km,Boîte manuelle,10/2021,Électrique/Essence,- kW (- CH),,
90,Ford Puma ,1.0 EcoBoost 155ch mHEV ST-Line X 7cv,"€ 18 499,-",Prix correct,76 909 km,Boîte manuelle,07/2020,Autres,116 kW (158 CH),,
91,Ford Puma ,1.0 EcoBoost 125ch mHEV Titanium X 6cv,"€ 19 998,-",Pas d'information,31 889 km,Boîte manuelle,11/2021,Électrique/Essence,- kW (- CH),,
92,Ford Puma ,1.0 EcoBoost 125ch mHEV ST-Line 6cv,"€ 18 499,-",Pas d'information,49 128 km,Boîte manuelle,01/2021,Électrique/Essence,- kW (- CH),,
93,Ford Puma ,ST-Line V 1.0i EcoBoost mHEV 155ps / 114kW M6,"€ 22 900,-",Pas d'information,78 460 km,Boîte manuelle,02/2021,Essence,114 kW (155 CH),,
94,Ford Puma ,ST-LINE 120 TDCI,"€ 26 935,-",Pas d'information,10 km,Boîte manuelle,- (Année),Diesel,- kW (- CH),,
95,Ford Puma ,1.0 EcoBoost mHEV ST-Line V,"€ 22 450,-",Prix correct,47 500 km,Boîte automatique,12/2021,Essence,114 kW (155 CH),,
96,Ford Puma ,1.0 EcoBoost 125ch mHEV ST-Line 6cv,"€ 19 990,-",Pas d'information,26 778 km,Boîte manuelle,10/2020,Électrique/Essence,- kW (- CH),,
97,Ford Puma ,1.0 EcoBoost 125ch mHEV ST-Line DCT7,"€ 20 980,-",Pas d'information,66 432 km,- Boîte,07/2021,Autres,93 kW (126 CH),,
98,Ford Puma ,1.0 EcoBoost 155ch mHEV ST-Line X DCT7,"€ 21 499,-",Pas d'information,52 031 km,Boîte automatique,08/2021,Électrique/Essence,- kW (- CH),,
99,Ford Puma ,1.0 EcoBoost 125ch mHEV ST-Line X,"€ 19 999,-",Pas d'information,40 301 km,Boîte manuelle,01/2020,Électrique/Essence,- kW (- CH),,
100,Ford Puma ,1.0 EcoBoost 125ch mHEV ST-Line X 6cv,"€ 19 499,-",Pas d'information,58 413 km,Boîte manuelle,02/2021,Électrique/Essence,- kW (- CH),,
101,Ford Puma ,1.0 EcoBoost 125ch mHEV Titanium 7cv,"€ 17 799,-",Pas d'information,34 967 km,Boîte manuelle,08/2020,Électrique/Essence,- kW (- CH),,
