,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,BMW X1 ,1.8d xdrive 143 xline bva8 2014,"€ 16 500,-",Pas d'information,- km,- Boîte,- (Année),- Carburant,- kW (- CH),,
1,BMW X5 M ,xDrive30d 258 ch Sport A,"€ 17 000,-",Pas d'information,252 000 km,Boîte automatique,02/2017,Diesel,190 kW (258 CH),,
2,BMW X6 ,3.5 disel,"€ 6 500,-",Pas d'information,249 000 km,- Boîte,10/2008,Diesel,210 kW (286 CH),,
3,BMW X5 ,Xdrive 35 Faisceau moteur HS EXPORT MARCHAND,"€ 6 500,-",Pas d'information,240 000 km,Boîte automatique,09/2008,Diesel,210 kW (286 CH),,
4,BMW X3 ,,"€ 22 500,-",Prix correct,129 100 km,Boîte automatique,05/2016,Diesel,140 kW (190 CH),,
5,BMW X1 ,sDrive 16d 116 ch DKG7 xLine,"€ 19 000,-",Pas d'information,10 000 km,Boîte automatique,09/2020,Diesel,85 kW (116 CH),,
6,BMW X3 ,2.0 d xDrive20 / CUIR / TOIT PANO / GPS NAVI / PDC,"€ 8 950,-",Prix correct,200 000 km,Boîte manuelle,11/2011,Diesel,120 kW (163 CH),,
7,BMW X3 ,3.0 DAS XDRIVE35 *** BMW HISTORY / FULL OPTION ***,"€ 21 950,-",Bon prix,134 000 km,Boîte automatique,09/2013,Diesel,230 kW (313 CH),,
8,BMW X6 ,xDrive30d 235ch Luxe A,"€ 18 000,-",Pas d'information,135 000 km,Boîte automatique,06/2009,Diesel,173 kW (235 CH),,
9,BMW X1 ,1.5i sDrive18,"€ 16 335,-",Très bon prix,88 786 km,Boîte manuelle,11/2018,Essence,100 kW (136 CH),,
10,BMW X3 ,3.0d Sport Steptronic A,"€ 5 200,-",Très bon prix,280 000 km,Boîte automatique,06/2007,Diesel,160 kW (218 CH),,
11,BMW X2 ,sDrive18d 150ch Lounge,"€ 21 900,-",Très bon prix,94 273 km,Boîte manuelle,04/2018,Diesel,112 kW (152 CH),,
12,BMW X5 ,3.0d 235ch Luxe A,"€ 8 500,-",Très bon prix,291 500 km,Boîte automatique,07/2007,Diesel,173 kW (235 CH),,
13,BMW X1 ,2.0i sDrive18,"€ 13 500,-",Très bon prix,85 000 km,Boîte manuelle,02/2014,Essence,110 kW (150 CH),,
14,BMW X1 ,Euro6b - Navi - Camera - Carnet - 1erMain,"€ 12 990,-",Bon prix,210 796 km,Boîte manuelle,01/2019,Diesel,85 kW (116 CH),,
15,BMW X3 M ,COMPETITION,"€ 54 890,-",Très bon prix,83 787 km,Boîte automatique,05/2021,Essence,375 kW (510 CH),,
16,BMW X3 ,2.0 dA sDrive18,"€ 14 250,-",Bon prix,179 625 km,Boîte automatique,03/2016,Diesel,100 kW (136 CH),,
17,BMW X2 ,F39 M Sport,"€ 26 900,-",Bon prix,87 250 km,Boîte automatique,10/2018,Essence,141 kW (192 CH),,
18,BMW X4 ,xDrive30d 265ch M Sport X Euro6d-T,"€ 52 900,-",Très bon prix,29 676 km,Boîte automatique,02/2020,Diesel,198 kW (269 CH),,
19,BMW X2 ,sDrive 18i - S\u0026S F39 Business Design,"€ 18 900,-",Bon prix,127 000 km,Boîte manuelle,10/2019,Essence,103 kW (140 CH),,
20,BMW X1 ,1.8d xdrive 143 xline bva8 2014,"€ 16 500,-",Pas d'information,- km,- Boîte,- (Année),- Carburant,- kW (- CH),,
21,BMW X5 M ,xDrive30d 258 ch Sport A,"€ 17 000,-",Pas d'information,252 000 km,Boîte automatique,02/2017,Diesel,190 kW (258 CH),,
22,BMW X6 ,3.5 disel,"€ 6 500,-",Pas d'information,249 000 km,- Boîte,10/2008,Diesel,210 kW (286 CH),,
23,BMW X5 ,Xdrive 35 Faisceau moteur HS EXPORT MARCHAND,"€ 6 500,-",Pas d'information,240 000 km,Boîte automatique,09/2008,Diesel,210 kW (286 CH),,
24,BMW X3 ,,"€ 22 500,-",Prix correct,129 100 km,Boîte automatique,05/2016,Diesel,140 kW (190 CH),,
25,BMW X1 ,sDrive 16d 116 ch DKG7 xLine,"€ 19 000,-",Pas d'information,10 000 km,Boîte automatique,09/2020,Diesel,85 kW (116 CH),,
26,BMW X3 ,2.0 d xDrive20 / CUIR / TOIT PANO / GPS NAVI / PDC,"€ 8 950,-",Prix correct,200 000 km,Boîte manuelle,11/2011,Diesel,120 kW (163 CH),,
27,BMW X3 ,3.0 DAS XDRIVE35 *** BMW HISTORY / FULL OPTION ***,"€ 21 950,-",Bon prix,134 000 km,Boîte automatique,09/2013,Diesel,230 kW (313 CH),,
28,BMW X6 ,xDrive30d 235ch Luxe A,"€ 18 000,-",Pas d'information,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,BMW X6 ,xDRIVE 40d 306ch N1 EXCLUSIVE A,"€ 17 990,-",Très bon prix,180 500 km,Boîte automatique,09/2010,Diesel,225 kW (306 CH),,
41,BMW X1 ,1.5 IAS 140 CV X-LINE AUTO LED CAMERA GPS JA,"€ 19 900,-",Très bon prix,79 000 km,Boîte automatique,09/2017,Essence,103 kW (140 CH),,
42,BMW X1 ,sDRIVE / STEPTRONIC / LEDER / NAVI /,"€ 19 950,-",,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
56,,,,,,,,,,,
57,,,,,,,,,,,
58,,,,,,,,,,,
59,,,,,,,,,,,
60,BMW X3 ,xDrive20d 190ch BVA8 xLine,"€ 33 900,-",Très bon prix,43 900 km,Boîte automatique,10/2019,Diesel,140 kW (190 CH),,
61,BMW X3 ,xDrive20d 190ch xLine BVA,"€ 15 990,-",Bon prix,188 681 km,Boîte automatique,04/2015,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68,,,,,,,,,,,
69,,,,,,,,,,,
70,,,,,,,,,,,
71,,,,,,,,,,,
72,,,,,,,,,,,
73,,,,,,,,,,,
74,,,,,,,,,,,
75,,,,,,,,,,,
76,,,,,,,,,,,
77,,,,,,,,,,,
78,,,,,,,,,,,
79,,,,,,,,,,,
80,BMW X3 ,3.0sd 286ch Sport Steptronic A,"€ 4 990,-",Très bon prix,368 000 km,Boîte automatique,03/2007,Diesel,210 kW (286 CH),,
81,BMW X1 ,I (E84) sDrive18d 143ch xLine,"€ 7 990,-",Bon prix,222 000 km,Boîte manuelle,10/2012,Diesel,105 kW (143 CH),,
82,BMW XM ,4.4 V8 653ch,"€ 149 990,-",Pas d'information,6 524 km,Boîte automatique,06/2023,Autres,481 kW (654 CH),,
83,BMW X5 ,xDrive40eA 313ch M Sport,"€ 37 989,-",Pas d'information,86 825 km,Boîte automatique,,,,,
84,,,,,,,,,,,
85,,,,,,,,,,,
86,,,,,,,,,,,
87,,,,,,,,,,,
88,,,,,,,,,,,
89,,,,,,,,,,,
90,,,,,,,,,,,
91,,,,,,,,,,,
92,,,,,,,,,,,
93,,,,,,,,,,,
94,,,,,,,,,,,
95,,,,,,,,,,,
96,,,,,,,,,,,
97,,,,,,,,,,,
98,,,,,,,,,,,
99,,,,,,,,,,,
100,BMW X1 ,xDrive23d,"€ 13 500,-",Bon prix,126 592 km,Boîte manuelle,08/2011,Diesel,150 kW (204 CH),,
101,BMW X1 ,(E84) XDRIVE20DA 184CH M SPORT,"€ 21 500,-",Très bon prix,26 850 km,Boîte automatique,06/2013,Diesel,137 kW (186 CH),,
102,BMW X2 ,2.0 d sDrive18 PACK M,,,,,,,,,
103,,,,,,,,,,,
104,,,,,,,,,,,
105,,,,,,,,,,,
106,,,,,,,,,,,
107,,,,,,,,,,,
108,,,,,,,,,,,
109,,,,,,,,,,,
110,,,,,,,,,,,
111,,,,,,,,,,,
112,,,,,,,,,,,
113,,,,,,,,,,,
114,,,,,,,,,,,
115,,,,,,,,,,,
116,,,,,,,,,,,
117,,,,,,,,,,,
118,,,,,,,,,,,
119,,,,,,,,,,,
120,BMW X4 ,3.0 dAS xDrive30 1e Main Pack M Etat Neuf Full His,"€ 34 990,-",Bon prix,233 215 km,Boîte automatique,01/2019,Diesel,195 kW (265 CH),,
121,BMW X3 ,sDrive18d 150ch Lounge A,"€ 14 990,-",Très bon prix,147 000 km,Boîte automatique,12/2014,Diesel,,,
122,,,,,,,,,,,
123,,,,,,,,,,,
124,,,,,,,,,,,
125,,,,,,,,,,,
126,,,,,,,,,,,
127,,,,,,,,,,,
128,,,,,,,,,,,
129,,,,,,,,,,,
130,,,,,,,,,,,
131,,,,,,,,,,,
132,,,,,,,,,,,
133,,,,,,,,,,,
134,,,,,,,,,,,
135,,,,,,,,,,,
136,,,,,,,,,,,
137,,,,,,,,,,,
138,,,,,,,,,,,
139,,,,,,,,,,,
140,BMW X1 ,X1 sDrive 18d 150 ch BVA8 Sport,"€ 18 990,-",Très bon prix,100 000 km,Boîte automatique,10/2016,Diesel,110 kW (150 CH),,
141,BMW X1 ,,"€ 23 000,-",Très bon prix,75 000 km,Boîte automatique,01/2018,Diesel,110 kW (150 CH),,
142,BMW X3 ,M Sport A,"€ 17 980,-",Prix correct,130 095 km,Boîte automatique,08/2014,Diesel,110 kW (150 CH),,
143,BMW X2 ,sDrive18iA 136ch Lounge DKG7,"€ 28 888,-",Pas d'information,33 566 km,- Boîte,12/2020,Essence,101 kW (137 CH),,
144,BMW X1 ,(F48) SDRIVE18IA 140CH BUSINESS DESIGN DKG7,"€ 21 900,-",Très bon prix,78 451 km,Boîte automatique,04/2019,Essence,104 kW (141 CH),,
145,BMW X1 ,xDrive25eA 220ch xLine 6cv,"€ 38 290,-",Bon prix,27 423 km,Boîte automatique,06/2022,Autres,93 kW (126 CH),,
146,BMW X4 ,2.0dA 190 x-Drive Pack Sport **4X4**,"€ 28 950,-",Très bon prix,64 000 km,Boîte automatique,01/2016,Diesel,140 kW (190 CH),,
147,BMW X3 ,(F25) XDRIVE20DA 184CH CONFORT,"€ 15 900,-",Très bon prix,89 046 km,Boîte automatique,08/2011,Diesel,137 kW (186 CH),,
148,BMW X2 M ,xDrive 18d 150 ch BVA8 Sport X,"€ 25 000,-",Pas d'information,46 200 km,Boîte automatique,11/2018,Diesel,110 kW (150 CH),,
149,BMW X2 ,BMW X2 20D 190 X DRIVE M SPORT DKG,"€ 29 990,-",Pas d'information,,,,,,,
150,,,,,,,,,,,
151,,,,,,,,,,,
152,,,,,,,,,,,
153,,,,,,,,,,,
154,,,,,,,,,,,
155,,,,,,,,,,,
156,,,,,,,,,,,
157,,,,,,,,,,,
158,,,,,,,,,,,
159,,,,,,,,,,,
160,BMW X1 ,(F48) XDRIVE18DA 150CH BUSINESS,"€ 19 990,-",Bon prix,90 667 km,Boîte automatique,10/2016,Diesel,112 kW (152 CH),,
161,BMW X1 ,xDrive 20d 190 ch BVA8 M Sport,"€ 19 990,-",Pas d'information,159 514 km,Boîte automatique,02/2017,Diesel,140 kW (190 CH),,
162,BMW X3 ,2.0dA xDrive Msport HeatedSeats ParkAssist Cruise,"€ 16 900,-",Bon prix,104 500 km,Boîte automatique,03/2012,Diesel,120 kW (163 CH),,
163,BMW X4 ,(f26) xdrive20d 190 m sport bva8 79 000km,"€ 28 950,-",Bon prix,79 000 km,Boîte automatique,09/2016,Diesel,140 kW (190 CH),,
164,BMW X6 M ,625ch Compétition 57cv,"€ 189 948,-",Pas d'information,7 000 km,Boîte automatique,12/2023,Essence,466 kW (634 CH),,
165,BMW X1 ,xDrive 25e 220 ch BVA6 xLine,"€ 28 990,-",Bon prix,33 000 km,Boîte automatique,09/2020,Autres,92 kW (125 CH),,
166,BMW X3 ,2.0 DAX 163 CV CAMERA XENON GPS CUIR AUTO JA,"€ 15 900,-",Prix correct,165 000 km,Boîte automatique,05/2014,Diesel,120 kW (163 CH),,
167,BMW X1 ,xDrive20dA 190ch M Sport,"€ 17 490,-",Pas d'information,197 000 km,Boîte automatique,10/2016,Diesel,142 kW (193 CH),,
168,BMW X6 M ,Competition,"€ 124 900,-",Prix correct,31 700 km,Boîte automatique,05/2021,Essence,460 kW (625 CH),,
