,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Audi Q5 ,2.0 TDI 143 S Line,"€ 8 800,-",Pas d'information,238 000 km,Boîte manuelle,07/2012,Diesel,105 kW (143 CH),,
1,Audi Q5 ,2.0 TDI Clean Diesel 190 Quattro Ambiente S tro7,"€ 16 990,-",Très bon prix,165 834 km,Boîte automatique,08/2016,Diesel,140 kW (190 CH),,
2,Audi Q5 ,2.0 TDI 190 S tronic 7 Quattro,"€ 23 500,-",Très bon prix,170 000 km,Boîte automatique,04/2019,Diesel,140 kW (190 CH),,
3,Audi Q5 ,2.0 TDI 170CH FAP START/STOP AMBIENTE QUATTRO S TR,"€ 16 990,-",Pas d'information,190 000 km,- Boîte,09/2012,Diesel,127 kW (173 CH),,
4,Audi Q5 ,2.0 TDI quattro S tronic Plaques Anglaise,"€ 8 500,-",Pas d'information,319 000 km,Boîte automatique,08/2012,Diesel,125 kW (170 CH),,
5,Audi Q5 ,"2.0 TDi Quattro DPF S Tronic # GPS, CUIR","€ 10 190,-",Très bon prix,215 927 km,Boîte automatique,05/2012,Diesel,120 kW (163 CH),,
6,Audi Q5 ,(3.0 v6 tdi 240ch fap avus quattro s tronic 7),"€ 19 900,-",Pas d'information,- km,- Boîte,- (Année),- Carburant,- kW (- CH),,
7,Audi Q5 ,45 TFSi Quattro S tronic*GPS*CUIR*CLIM*JANTES*,"€ 30 990,-",Très bon prix,78 076 km,Boîte automatique,05/2019,Essence,180 kW (245 CH),,
8,Audi Q5 ,2.0 TDI Clean Diesel 150 Quattro Ambition Luxe,"€ 16 000,-",Très bon prix,136 000 km,Boîte manuelle,07/2014,Diesel,110 kW (150 CH),,
9,Audi Q5 ,2.0 TDI 177 Quattro S Line S tronic 7,"€ 17 000,-",Très bon prix,136 965 km,Boîte automatique,01/2015,Diesel,120 kW (163 CH),,
10,Audi Q5 ,2.0 TDI 190CH CLEAN DIESEL S LINE S TRONIC 7,"€ 15 990,-",Bon prix,200 393 km,Boîte automatique,10/2016,Diesel,142 kW (193 CH),,
11,Audi Q5 ,2.0 TDI 150 Design Luxe,"€ 22 300,-",Bon prix,114 900 km,Boîte manuelle,06/2017,Diesel,110 kW (150 CH),,
12,Audi Q5 ,2.0 TDI 190 S tronic 7 Quattro S line,"€ 29 500,-",Prix correct,151 000 km,Boîte automatique,01/2018,Diesel,140 kW (190 CH),,
13,Audi Q5 ,2.0 TDI 143CH FAP AMBIENTE,"€ 13 990,-",Très bon prix,138 616 km,Boîte manuelle,06/2012,Diesel,107 kW (145 CH),,
14,Audi Q5 ,2.0 TDI 170 DPF Quattro S Line,"€ 10 000,-",Bon prix,211 000 km,Boîte manuelle,09/2009,Diesel,125 kW (170 CH),,
15,Audi Q5 ,2.0 tdi quattro 170cv s-tronic dpf,"€ 9 999,-",Très bon prix,291 000 km,Semi-automatique,05/2010,Diesel,125 kW (170 CH),,
16,Audi Q5 ,V6 3.0 TDI 286 Tiptronic 8 Quattro S line,"€ 36 900,-",Très bon prix,115 400 km,Boîte automatique,04/2018,Diesel,210 kW (286 CH),,
17,Audi Q5 ,2.0 TFSI 245 Hybrid Quattro Avus Tiptronic A,"€ 18 500,-",Bon prix,129 000 km,Boîte automatique,02/2012,Autres,155 kW (211 CH),,
18,Audi Q5 ,2.0 TFSI 211CH START/STOP S LINE QUATTRO,"€ 14 900,-",Très bon prix,115 723 km,Boîte manuelle,04/2010,Essence,157 kW (213 CH),,
19,Audi Q5 ,2.0 TDi Quattro Sport S tronic *Trekhaak *Carplay,"€ 26 900,-",Très bon prix,98 736 km,Boîte automatique,06/2017,Diesel,140 kW (190 CH),,
20,Audi Q5 ,2.0 TDI 143 S Line,"€ 8 800,-",Pas d'information,238 000 km,Boîte manuelle,07/2012,Diesel,105 kW (143 CH),,
21,Audi Q5 ,2.0 TDI Clean Diesel 190 Quattro Ambiente S tro7,"€ 16 990,-",Très bon prix,165 834 km,Boîte automatique,08/2016,Diesel,140 kW (190 CH),,
22,Audi Q5 ,2.0 TDI 190 S tronic 7 Quattro,"€ 23 500,-",Très bon prix,170 000 km,Boîte automatique,04/2019,Diesel,140 kW (190 CH),,
23,Audi Q5 ,2.0 TDI 170CH FAP START/STOP AMBIENTE QUATTRO S TR,"€ 16 990,-",Pas d'information,190 000 km,- Boîte,09/2012,Diesel,127 kW (173 CH),,
24,Audi Q5 ,2.0 TDI quattro S tronic Plaques Anglaise,"€ 8 500,-",Pas d'information,319 000 km,Boîte automatique,08/2012,Diesel,125 kW (170 CH),,
25,Audi Q5 ,"2.0 TDi Quattro DPF S Tronic # GPS, CUIR",,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,Audi Q5 ,2.0 TDi Quattro,,Prix correct,177 759 km,Boîte manuelle,06/2015,Diesel,110 kW (150 CH),,
41,Audi Q5 ,,,,,,,,,,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
56,,,,,,,,,,,
57,,,,,,,,,,,
58,,,,,,,,,,,
59,,,,,,,,,,,
60,Audi Q5 ,2.0 TDI Quattro S line 190ch,,Bon prix,98 000 km,Boîte automatique,02/2018,Diesel,140 kW (190 CH),,
61,Audi Q5 ,,,,,,,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68,,,,,,,,,,,
69,,,,,,,,,,,
70,,,,,,,,,,,
71,,,,,,,,,,,
72,,,,,,,,,,,
73,,,,,,,,,,,
74,,,,,,,,,,,
75,,,,,,,,,,,
76,,,,,,,,,,,
77,,,,,,,,,,,
78,,,,,,,,,,,
79,,,,,,,,,,,
80,Audi Q5 ,2.0 TDI 143CH FAP AMBIENTE,"€ 16 990,-",Pas d'information,147 700 km,Boîte manuelle,03/2012,Diesel,107 kW (145 CH),,
81,Audi Q5 ,SV6 TDI 347 PANO BANG ACC LANE SIDE DIAMANT LIVRAI,"€ 62 990,-",Pas d'information,55 821 km,- Boîte,11/2019,Diesel,256 kW (348 CH),,
82,Audi Q5 ,30TDI S TRONIC BUSINESS PLUS EDITION - NAVI - LED,"€ 27 995,-",Pas d'information,109 703 km,Boîte automatique,12/2020,Diesel,100 kW (136 CH),,
83,Audi Q5 ,2.0 TDI 143 cv Ambition Luxe Pack S-Line - Garanti,"€ 19 990,-",Pas d'information,88 000 km,Boîte manuelle,07/2013,Diesel,105 kW (143 CH),,
84,,,,,,,,,,,
85,,,,,,,,,,,
86,,,,,,,,,,,
87,,,,,,,,,,,
88,,,,,,,,,,,
89,,,,,,,,,,,
90,,,,,,,,,,,
91,,,,,,,,,,,
92,,,,,,,,,,,
93,,,,,,,,,,,
94,,,,,,,,,,,
95,,,,,,,,,,,
96,,,,,,,,,,,
97,,,,,,,,,,,
98,,,,,,,,,,,
99,,,,,,,,,,,
