,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Citroen AX ,1.1 first,"€ 600,-",Pas d'information,158 000 km,Boîte manuelle,01/1993,Essence,- kW (- CH),,
1,Citroen AX ,1.4 4X4,"€ 9 900,-",Pas d'information,95 000 km,Boîte manuelle,06/1992,Essence,55 kW (75 CH),,
2,Citroen AX ,1.0 K way,"€ 4 900,-",Pas d'information,6 000 km,- Boîte,10/1990,Essence,- kW (- CH),,
3,Citroen AX ,1.0i Image,"€ 1 600,-",Pas d'information,177 000 km,Boîte manuelle,05/1996,Essence,36 kW (49 CH),,
