,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,BMW 216 ,d Edition,"€ 7 990,-",Très bon prix,186 910 km,Boîte manuelle,01/2017,Diesel,85 kW (116 CH),,
1,BMW 216 ,216d *CRUISE *GPS *CLIM BI-ZONE *CAPTEURS ARR,"€ 9 950,-",Pas d'information,118 000 km,Boîte manuelle,11/2016,Diesel,85 kW (116 CH),,
2,BMW 230 ,M sport,"€ 24 590,-",Très bon prix,58 000 km,Boîte automatique,08/2017,Essence,185 kW (252 CH),,
3,BMW 218 ,218iA 136ch M Sport DKG7,"€ 33 990,-",Pas d'information,26 620 km,- Boîte,12/2021,Essence,101 kW (137 CH),,
4,BMW 218 ,"D COUPE AUT. M PACK ***NP:€41.450,-***","€ 19 950,-",Prix correct,99 990 km,Boîte automatique,02/2016,Diesel,110 kW (150 CH),,
5,BMW 218 ,218d Gran Coupé - BVA GRAN COUPE F44 Business Des,"€ 21 500,-",Prix correct,139 000 km,Boîte automatique,11/2020,Diesel,110 kW (150 CH),,
6,BMW 218 ,Serie Coupe 218D 145 SPORT GARANTIE 6 MOIS,"€ 13 790,-",Bon prix,168 000 km,Boîte manuelle,05/2015,Diesel,106 kW (144 CH),,
7,BMW 218 ,218d ACTIVE TOURER BVA SPORT,"€ 15 980,-",Très bon prix,82 900 km,Boîte automatique,02/2017,Diesel,110 kW (150 CH),,
8,BMW 225 ,Active Tourer 225xe iPerformance 224 ch BVA6 Sport,"€ 13 000,-",Très bon prix,175 000 km,Boîte automatique,03/2019,Électrique/Essence,100 kW (136 CH),,
9,BMW 218 ,218iA 136ch Luxury,"€ 20 799,-",Pas d'information,40 293 km,Boîte automatique,02/2018,Essence,- kW (- CH),,
10,BMW 235 ,M GranCoupé xDrive 306 ch BVA8-Garantie 12 mois,"€ 37 900,-",Très bon prix,24 000 km,Boîte automatique,06/2021,Essence,225 kW (306 CH),,
11,BMW 220 ,SERIE 2 CABRIOLET F23 184 ch BVA8 M Sport,"€ 27 500,-",Très bon prix,41 000 km,Boîte automatique,05/2018,Essence,135 kW (184 CH),,
12,BMW 216 ,d Gran Coupé Autom. - GPS - Topstaat,"€ 22 990,-",Pas d'information,121 605 km,Boîte automatique,08/2020,Diesel,85 kW (116 CH),,
13,BMW 218 ,218iA 140ch Luxury DKG7,"€ 24 780,-",Pas d'information,21 750 km,- Boîte,12/2019,Essence,104 kW (141 CH),,
14,BMW 218 ,Gran Tourer 218i 136 ch Sport A,"€ 14 900,-",Très bon prix,62 400 km,Boîte automatique,08/2015,Essence,100 kW (136 CH),,
15,BMW 216 ,(F46) 216D 116CH EXECUTIVE,"€ 12 890,-",Bon prix,129 680 km,Boîte manuelle,05/2016,Diesel,87 kW (118 CH),,
16,BMW 225 ,225xeA Plug-In Hybrid *PANO*NAVI*,"€ 16 990,-",Bon prix,79 318 km,Boîte automatique,06/2016,Électrique/Essence,100 kW (136 CH),,
17,BMW 225 ,SERIE 2 COUPE F22 Coupé 224 ch M Sport A,"€ 24 100,-",Très bon prix,85 800 km,Boîte automatique,04/2018,Diesel,165 kW (224 CH),,
18,BMW 214 ,SERIE 2 ACTIVE TOURER F45 95 ch Premiere,"€ 12 499,-",Pas d'information,74 999 km,Boîte manuelle,06/2016,Diesel,70 kW (95 CH),,
19,BMW 218 ,218iA 136ch Luxury,"€ 21 890,-",Prix correct,39 845 km,Boîte automatique,12/2017,Essence,101 kW (137 CH),,
20,BMW 216 ,d Edition,"€ 7 990,-",Très bon prix,186 910 km,Boîte manuelle,01/2017,Diesel,85 kW (116 CH),,
21,BMW 216 ,216d *CRUISE *GPS *CLIM BI-ZONE *CAPTEURS ARR,"€ 9 950,-",Pas d'information,118 000 km,Boîte manuelle,11/2016,Diesel,85 kW (116 CH),,
22,BMW 230 ,M sport,"€ 24 590,-",Très bon prix,58 000 km,Boîte automatique,08/2017,Essence,185 kW (252 CH),,
23,BMW 218 ,218iA 136ch M Sport DKG7,"€ 33 990,-",Pas d'information,26 620 km,- Boîte,12/2021,Essence,101 kW (137 CH),,
24,BMW 218 ,"D COUPE AUT. M PACK ***NP:€41.450,-***","€ 19 950,-",Prix correct,99 990 km,Boîte automatique,02/2016,Diesel,110 kW (150 CH),,
