,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Renault Kadjar ,Blue dCi 115 EDC Intens,"€ 15 990,-",Très bon prix,58 000 km,Boîte automatique,10/2020,Diesel,85 kW (116 CH),,
1,Renault Kadjar ,dCi 130 Energy 4WD Business,"€ 12 250,-",Très bon prix,22 000 km,Boîte manuelle,09/2015,Diesel,96 kW (131 CH),,
2,Renault Kadjar ,dCi 130 Energy Zen,"€ 9 990,-",Très bon prix,145 000 km,Boîte manuelle,11/2015,Diesel,96 kW (131 CH),,
3,Renault Kadjar ,1.5 Energy dCi 110 Graphite,"€ 10 490,-",Pas d'information,134 125 km,Boîte manuelle,10/2018,Diesel,- kW (- CH),,
4,Renault Kadjar ,1.2 TCE 130CH ENERGY INTENS,"€ 9 490,-",Très bon prix,124 930 km,Boîte manuelle,12/2015,Essence,97 kW (132 CH),,
5,Renault Kadjar ,1.3 TCe 140 Intens,"€ 15 990,-",Bon prix,40 208 km,Boîte manuelle,12/2019,Essence,103 kW (140 CH),,
6,Renault Kadjar ,1.3 TCe 140 Intens,"€ 12 090,-",Bon prix,95 909 km,Boîte manuelle,11/2018,Essence,96 kW (131 CH),,
7,Renault Kadjar ,1.2 TCe 130 Energy Intens,"€ 12 990,-",Prix correct,67 254 km,Boîte manuelle,12/2016,Essence,96 kW (131 CH),,
8,Renault Kadjar ,1.6 dCi S-Edition NAVI AIRCO CAMERA LED,"€ 13 150,-",Très bon prix,83 458 km,Boîte manuelle,05/2018,Diesel,96 kW (131 CH),,
9,Renault Kadjar ,1.5 BLUE DCI 115CH BUSINESS EDC - 21,"€ 18 990,-",Pas d'information,57 760 km,- Boîte,01/2021,Diesel,86 kW (117 CH),,
10,Renault Kadjar ,dCi 110 Energy eco² Intens,"€ 12 000,-",Bon prix,130 000 km,Boîte manuelle,02/2017,Diesel,81 kW (110 CH),,
11,Renault Kadjar ,1.2 TCE 130CH ENERGY INTENS EDC,"€ 11 990,-",Pas d'information,104 000 km,- Boîte,09/2016,Essence,97 kW (132 CH),,
12,Renault Kadjar ,DCI 130 ENERGY X-TRONIC INTENS,"€ 12 990,-",Bon prix,124 563 km,Boîte automatique,06/2018,Diesel,96 kW (131 CH),,
13,Renault Kadjar ,1.6 dCi 130 CV 06/2015,"€ 10 800,-",Bon prix,159 480 km,Boîte manuelle,06/2015,Diesel,96 kW (131 CH),,
14,Renault Kadjar ,1.5 Blue dCi 115ch Business,"€ 16 799,-",Bon prix,49 017 km,Boîte manuelle,10/2020,Diesel,86 kW (117 CH),,
15,Renault Kadjar ,1.5 Blue dCi 115ch Business 131g,"€ 15 799,-",Très bon prix,54 457 km,Boîte manuelle,03/2020,Diesel,86 kW (117 CH),,
16,Renault Kadjar ,1.2 TCe 130 Life Temp el.mirror,"€ 9 688,-",Pas d'information,115 915 km,Boîte manuelle,10/2017,Essence,96 kW (131 CH),,
17,Renault Kadjar ,1.5 BLUE DCI 115CH BUSINESS EDC,"€ 15 990,-",Bon prix,83 391 km,Boîte automatique,06/2020,Diesel,85 kW (116 CH),,
18,Renault Kadjar ,dCi 110 Energy eco² 116000km 1ère Main,"€ 12 990,-",Bon prix,116 000 km,Boîte manuelle,03/2018,Diesel,81 kW (110 CH),,
19,Renault Kadjar ,1.2 TCe 130ch energy Graphite EDC,"€ 17 990,-",Pas d'information,34 033 km,Boîte automatique,10/2017,Essence,- kW (- CH),,
20,Renault Kadjar ,Blue dCi 115 EDC Intens,"€ 15 990,-",,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,Renault Kadjar ,1.6 dCi 130ch energy Intens 4WD,"€ 17 999,-",Pas d'information,54 183 km,Boîte manuelle,07/2018,Diesel,- kW (- CH),,
41,Renault Kadjar ,1.2 TCe 130ch energy Intens EDC,"€ 16 999,-",Pas d'information,74 831 km,Boîte automatique,08/2017,Essence,- kW (- CH),,
42,Renault Kadjar ,1.2 TCe 130ch energy Intens EDC,"€ 15 499,-",Pas d'information,48 602 km,- Boîte,12/2017,Essence,97 kW (132 CH),,
43,Renault Kadjar ,1.5 Blue dCi 115ch Business 112g,"€ 17 299,-",Pas d'information,46 757 km,Boîte manuelle,01/2020,Diesel,- kW (- CH),,
44,Renault Kadjar ,1.5 dCi 110ch energy Zen EDC eco²,"€ 13 999,-",Pas d'information,98 133 km,Boîte automatique,12/2015,Diesel,- kW (- CH),,
45,Renault Kadjar ,1.6 DCI 130 ENERGY INTENS X-TRONIC BVA,"€ 15 900,-",Prix correct,98 900 km,Boîte automatique,05/2018,Diesel,97 kW (132 CH),,
46,Renault Kadjar ,KADJAR TCe 140 Techno,"€ 26 491,-",Pas d'information,10 000 km,- Boîte,05/2022,Essence,- kW (- CH),,
47,Renault Kadjar ,1.5 Energy dCi 110 EDC Intens,"€ 15 900,-",Pas d'information,76 000 km,Boîte automatique,12/2016,Diesel,- kW (- CH),,
48,Renault Kadjar ,N/A 1.5 dCi Energy 110 EDC Intens - Automatique,"€ 11 490,-",Prix correct,151 233 km,Boîte automatique,10/2016,Diesel,81 kW (110 CH),,
49,Renault Kadjar ,KADJAR TCe 140 FAP Business,"€ 18 990,-",Pas d'information,55 500 km,- Boîte,03/2019,Essence,- kW (- CH),,
50,Renault Kadjar ,TCe 160 EDC Bose Ed. Pano GPS,"€ 15 588,-",Très bon prix,111 188 km,Boîte automatique,03/2020,Essence,117 kW (159 CH),,
51,Renault Kadjar ,1.3 TCe 140ch FAP Business - 21,"€ 15 999,-",Très bon prix,56 530 km,Boîte manuelle,04/2021,Essence,104 kW (141 CH),,
52,Renault Kadjar ,1.3 TCe 140ch FAP Business - 21,"€ 18 999,-",Très bon prix,23 595 km,Boîte manuelle,03/2022,Essence,104 kW (141 CH),,
53,Renault Kadjar ,1.5 Blue dCi 115ch Business EDC,"€ 13 799,-",Pas d'information,126 259 km,Boîte automatique,04/2019,Diesel,- kW (- CH),,
54,Renault Kadjar ,1.5 dCi 115CV Intens 05/2019 111000KM,"€ 14 990,-",Prix correct,111 000 km,Boîte manuelle,05/2019,Diesel,85 kW (116 CH),,
55,Renault Kadjar ,1.6 dCi 130ch energy Business 4WD,"€ 16 980,-",Pas d'information,76 125 km,Boîte manuelle,04/2017,Diesel,97 kW (132 CH),,
56,Renault Kadjar ,1.5 dCi 110ch energy Intens EDC eco²,"€ 14 499,-",Pas d'information,121 619 km,Boîte automatique,02/2018,Diesel,- kW (- CH),,
57,Renault Kadjar ,1.2 TCe 130ch energy Intens,"€ 16 999,-",Pas d'information,16 877 km,Boîte manuelle,06/2020,Essence,- kW (- CH),,
58,Renault Kadjar ,BLUE DCI 115 BUSINESS,"€ 15 590,-",Prix correct,85 245 km,Boîte manuelle,10/2020,Diesel,85 kW (116 CH),,
59,Renault Kadjar ,1.5 Blue dCi 115ch Business - 21,"€ 17 799,-",Bon prix,43 270 km,Boîte manuelle,01/2021,Diesel,86 kW (117 CH),,
60,Renault Kadjar ,1.6 dCi 130ch energy Intens 4WD,"€ 17 999,-",,,,,,,,
61,,,,,,,,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68,,,,,,,,,,,
69,,,,,,,,,,,
70,,,,,,,,,,,
71,,,,,,,,,,,
72,,,,,,,,,,,
73,,,,,,,,,,,
74,,,,,,,,,,,
75,,,,,,,,,,,
76,,,,,,,,,,,
77,,,,,,,,,,,
78,,,,,,,,,,,
79,,,,,,,,,,,
80,Renault Kadjar ,1.5 Blue dCi 115ch Intens,"€ 14 999,-",Pas d'information,106 425 km,Boîte manuelle,05/2019,Diesel,- kW (- CH),,
81,Renault Kadjar ,1.5 Blue dCi 115ch Business 112g,"€ 16 799,-",Pas d'information,50 876 km,Boîte manuelle,02/2019,Diesel,- kW (- CH),,
