,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Porsche 968 ,4CYL BV6,"€ 29 900,-",Pas d'information,114 950 km,Boîte manuelle,09/1994,Essence,179 kW (243 CH),,
1,Porsche 968 ,Cabriolet,"€ 31 990,-",Pas d'information,125 950 km,Boîte manuelle,06/1992,Essence,176 kW (239 CH),,
2,Porsche 968 ,TARGA,"€ 41 000,-",Pas d'information,142 000 km,Boîte manuelle,04/1992,Essence,177 kW (241 CH),,
3,Porsche 968 ,club sport,"€ 53 900,-",Pas d'information,148 600 km,Boîte manuelle,01/1994,Essence,177 kW (241 CH),,
4,Porsche 968 ,,"€ 41 500,-",Pas d'information,54 746 km,Boîte manuelle,01/1994,Essence,- kW (- CH),,
5,Porsche 968 ,CLUB SPORT BV6,"€ 65 000,-",Pas d'information,154 626 km,Boîte manuelle,02/1995,Essence,179 kW (243 CH),,
