,model_name,extended_name,price,price_judgement,kilometers,transmission,release_date,fuel,power,owner,owner_adress
0,Nissan Patrol ,EBRO 3.3 D,,Pas d'information,118 500 km,Boîte manuelle,03/1989,Diesel,69 kW (94 CH),,
1,Nissan Patrol ,MERCA 2.8D,"€ 3 500,-",Pas d'information,149 901 km,Boîte manuelle,10/1995,Diesel,70 kW (95 CH),,
2,Nissan Patrol ,2.7 TD BAROUD,"€ 4 000,-",Pas d'information,325 000 km,Boîte manuelle,04/1999,Diesel,73 kW (99 CH),,
3,Nissan Patrol ,Patrol GR 2.8 td egr Safari 4x4,"€ 24 000,-",Pas d'information,88 000 km,Boîte manuelle,01/1996,Diesel,85 kW (116 CH),,
4,Nissan Patrol ,GR SW 2.8 td SE,"€ 23 000,-",Pas d'information,105 000 km,Boîte manuelle,02/2000,Diesel,95 kW (129 CH),,
5,Nissan Patrol ,LE - EXPORT OUT EU TROPICAL VERSION - EXPORT OUT E,"€ 62 000,-",Pas d'information,- km,Boîte automatique,- (Année),Essence,294 kW (400 CH),,
6,Nissan Patrol ,GR 2.8 TDI SE Court,"€ 7 500,-",Pas d'information,308 000 km,Boîte manuelle,08/1998,Diesel,95 kW (129 CH),,
